baseline,baseline_label,model,model_name,embedding,embedding_name,c_paths_detected,c_precision,c_recall,c_f1,embed_paths_detected,embed_precision,embed_recall,embed_f1,embed_a_paths_detected,embed_a_precision,embed_a_recall,embed_a_f1,embed_aplus_paths_detected,embed_aplus_precision,embed_aplus_recall,embed_aplus_f1,channel_synergy,is_deception_baseline,c_paths_detected_list,embed_paths_detected_list,embed_a_paths_detected_list,embed_aplus_paths_detected_list,ground_truth_count,ground_truth_paths,inference_depth_component,llm_tus,embed_a_tus,embed_aplus_tus,embed_tus,tus
B1,Surface Deception,dee,DeepSeek,ada02,Ada-002 (OpenAI),2,0.0,1.0,0.0,8,0.0,1.0,0.0,3,0.0,1.0,0.0,6,0.0,1.0,0.0,0.0,True,"[24, 46]","[1, 3, 4, 22, 27, 42, 43, 60]","[1, 3, 43]","[1, 4, 22, 27, 42, 60]",0,[],12.0,0.0,0.0,0.0,0.0,0.0
B1,Surface Deception,gem,Gemini 3.0 Pro,ada02,Ada-002 (OpenAI),0,1.0,1.0,1.0,8,0.0,1.0,0.0,3,0.0,1.0,0.0,6,0.0,1.0,0.0,0.0,True,[],"[1, 3, 4, 22, 27, 42, 43, 60]","[1, 3, 43]","[1, 4, 22, 27, 42, 60]",0,[],20.0,70.0,0.0,0.0,0.0,70.0
B1,Surface Deception,gpt,ChatGPT 5.1,ada02,Ada-002 (OpenAI),1,0.0,1.0,0.0,8,0.0,1.0,0.0,3,0.0,1.0,0.0,6,0.0,1.0,0.0,0.0,True,[25],"[1, 3, 4, 22, 27, 42, 43, 60]","[1, 3, 43]","[1, 4, 22, 27, 42, 60]",0,[],16.0,0.0,0.0,0.0,0.0,0.0
B1,Surface Deception,hai,Claude Haiku 4.5,ada02,Ada-002 (OpenAI),3,0.0,1.0,0.0,8,0.0,1.0,0.0,3,0.0,1.0,0.0,6,0.0,1.0,0.0,0.1,True,"[1, 6, 45]","[1, 3, 4, 22, 27, 42, 43, 60]","[1, 3, 43]","[1, 4, 22, 27, 42, 60]",0,[],8.0,0.0,0.0,0.0,0.0,0.0
B1,Surface Deception,opu,Claude Opus 4.1,ada02,Ada-002 (OpenAI),0,1.0,1.0,1.0,8,0.0,1.0,0.0,3,0.0,1.0,0.0,6,0.0,1.0,0.0,0.0,True,[],"[1, 3, 4, 22, 27, 42, 43, 60]","[1, 3, 43]","[1, 4, 22, 27, 42, 60]",0,[],20.0,70.0,0.0,0.0,0.0,70.0
B1,Surface Deception,son,Claude Sonnet 4.5,ada02,Ada-002 (OpenAI),0,1.0,1.0,1.0,8,0.0,1.0,0.0,3,0.0,1.0,0.0,6,0.0,1.0,0.0,0.0,True,[],"[1, 3, 4, 22, 27, 42, 43, 60]","[1, 3, 43]","[1, 4, 22, 27, 42, 60]",0,[],20.0,70.0,0.0,0.0,0.0,70.0
B1,Surface Deception,dee,DeepSeek,cohere,Cohere v3.0,2,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,True,"[24, 46]",[],[],[],0,[],12.0,0.0,70.0,70.0,70.0,0.0
B1,Surface Deception,gem,Gemini 3.0 Pro,cohere,Cohere v3.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B1,Surface Deception,gpt,ChatGPT 5.1,cohere,Cohere v3.0,1,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,True,[25],[],[],[],0,[],16.0,0.0,70.0,70.0,70.0,0.0
B1,Surface Deception,hai,Claude Haiku 4.5,cohere,Cohere v3.0,3,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,True,"[1, 6, 45]",[],[],[],0,[],8.0,0.0,70.0,70.0,70.0,0.0
B1,Surface Deception,opu,Claude Opus 4.1,cohere,Cohere v3.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B1,Surface Deception,son,Claude Sonnet 4.5,cohere,Cohere v3.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B1,Surface Deception,dee,DeepSeek,e5,E5-Large (Local),5,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,True,"[1, 2, 6, 9, 24]",[],[],[],0,[],0.0,0.0,70.0,70.0,70.0,0.0
B1,Surface Deception,gem,Gemini 3.0 Pro,e5,E5-Large (Local),0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B1,Surface Deception,gpt,ChatGPT 5.1,e5,E5-Large (Local),1,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,True,[25],[],[],[],0,[],16.0,0.0,70.0,70.0,70.0,0.0
B1,Surface Deception,hai,Claude Haiku 4.5,e5,E5-Large (Local),2,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,True,"[2, 51]",[],[],[],0,[],12.0,0.0,70.0,70.0,70.0,0.0
B1,Surface Deception,opu,Claude Opus 4.1,e5,E5-Large (Local),2,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,True,"[1, 9]",[],[],[],0,[],12.0,0.0,70.0,70.0,70.0,0.0
B1,Surface Deception,son,Claude Sonnet 4.5,e5,E5-Large (Local),0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
